competition_id,date,name
1271,2016-07-16,Mississippi Bench & Powerlifting Championships
1272,2016-07-16,Women of Steel Summer Showdown
1274,2016-07-16,2016 Summer Power Fest
1275,2016-07-16,2016 Virginia Beach Battle
1276,2016-07-23,2016 WHSPA Raw State Championship
1277,2016-07-16,2016 California State Games
1278,2016-07-23,PurePowerlifting Summer Classic
1279,2016-07-11,1st IPF University Powerlifting World Cup
1280,2016-07-16,Louisiana Summer Classic
1281,2015-07-18,Gym and TLS Raw Challenge
1282,2016-05-28,Idaho RAW Classic
1283,2016-07-23,"Border Bash ""Alabama vs Georgia"""
1284,2016-07-23,Washington State Junior & Collegiate Open
1285,2016-07-23,PurePowerlifting Summer Classic
1286,2016-07-30,Staten Island Championships
1287,2016-07-30,2016 Procrastinators Championships
1288,2016-07-30,2016 Iowa State Open
1290,2016-04-16,2016 California State Championships
1291,2016-07-23,5th Annual Central Florida Powerlifting Championships
1292,2016-07-30,Ohio State Championship
1293,2016-08-06,Montana State Raw Championship
1294,2016-08-06,Iron Works Open XII
1295,2016-08-13,Northern NY Championships
1296,2016-08-13,Powerlifting for Pups
1297,2016-07-30,Rocky Mountain State Games
1299,2016-08-05,34th Annual New Jersey State Championships
1300,2016-08-13,Juggernaut Summer Showdown
1301,2016-08-15,14th Annual North American Championships
1302,2016-08-13,4th Annual Patriot Open
1303,2016-08-13,2016 Palmetto Classic
1304,2016-08-06,Summer Classic
1305,2016-08-13,3rd Annual NoVa Open
1306,2016-07-16,Baltimore Raw Full-Lift Open
1309,2016-08-27,M'powered Raw Ruckus
1310,2015-11-09,IPF Open Worlds Championships - Hamm (Luxembourg)
1311,2016-08-20,Maryland State Championship
1312,2016-08-27,Newport Open
1314,2016-08-20,Twin Cities Open
1317,2016-08-25,3rd Alaska State Fair Challenge
1318,2016-08-20,Wolf Open
1319,2016-08-27,2016 Bucks County Powerlifting Meet
1321,2016-08-28,Late Summer Qualifier
1322,2016-09-04,New Orleans Invitational
1323,2016-09-03,2016 Last Chance Qualifier
1324,2016-09-10,Bench Press Nationals
1325,2016-09-10,Michigan BarBellum
1326,2016-09-11,No Frills Quest Qualifier
1327,2016-09-10,Southern Indiana Fall Raw Classic
1328,2016-09-10,Squats & Science Raw Powerlifting Challenge
1330,2015-11-14,2015 Michigan Powerlifting and Bench Press Championships
1331,2016-09-17,Buffalo Fall Powerfest
1332,2016-09-18,2016 New Mexico Fall Classic
1333,2016-09-17,Best in the Midwest Raw Deadlift Challenge
1335,2016-09-18,Windy City Raw Bench
1336,2016-09-18,SCI-Graterford Powerlifting Meet
1337,2016-09-17,2016 Right to Bear Iron
1338,2016-08-29,IPF SubJr-Junior Worlds - Szczyrk Poland
1339,2016-04-19,IPF Bench Worlds - Rodby Denmark
1340,2016-09-17,2016 USA Powerlifting 8th Annual Iron Wars
1341,2016-09-11,USA Powerlifting Connecticut Last Show for Nationals
1342,2016-09-24,Lake Pleasant Classic
1343,2016-09-24,Alaska Muscle Fall Raw Open
1344,2016-09-24,Grand Rapids BarBellum
1345,2016-09-24,2016 Pure Fitness Open
1346,2016-09-24,Boss of Norcal 3
1348,2016-09-25,2016 New Jersey Heavy Metal Classic
1349,2016-09-25,10th Annual South Florida Open Powerlifting Championships
1350,2016-09-24,2016 Solcana Novice Meet
1351,2016-09-25,Colorado Fall Open
1352,2016-10-02,New York State Championships
1353,2016-10-03,IPF Master Worlds (Tallinn Estonia)
1354,2016-10-13,Raw Nationals 2016
1356,2016-10-22,Noonan Barbell Raw Open
1357,2016-10-08,Connecticut Bench Press Against Breast Cancer
1358,2016-10-29,Western Wisconsin Open
1359,2016-10-25,Southwest Regionals & Ferrigno Power Classic
1360,2016-11-05,New Hampshire State Championships
1361,2016-11-05,Fall Festival of Power
1362,2016-11-05,2016 SBWC Fall Classic
1363,2016-11-05,2016 Northwest Regional Championships
1364,2016-11-05,2016 Mid-West & Central Region Championships
1365,2016-11-06,Chicago Raw Novice
1367,2016-11-12,2016 SoHi Fall Classic
1368,2016-11-05,2016 Virginia State Championship
1369,2016-11-12,Solcana Open Bench Press Championship
1370,2016-11-12,Ivy League Championship
1371,2016-11-05,Michigan Powerlifting & BP State Championships
1372,2016-11-12,Connecticut Deadlift Against Diabetes
1373,2016-11-12,Arizona 2016 Fall Classic
1374,2016-11-13,New Jersey Iron Gobbler Championship
1375,2016-11-14,2016 IPF Open Worlds
1376,2016-11-19,Abbeville Open & Louisiana Collegiate Championship
1377,2016-11-19,2016 Trojan Iron Wars
1378,2016-11-19,Power on the Platte
1379,2016-10-28,2016 NAPF Bench Press Championships (San Jose - Costa Rica)
1380,2016-11-12,Iron Lion 2016
1381,2016-11-19,2016 Longhorn Open
1385,2016-11-20,13th Annual Florida Collegiate Powerlifting Championships
1386,2016-12-04,No Frills Red Hawke Open
1387,2016-11-19,2016 Northeast & Mid-Atlantic Regionals
1388,2016-11-19,Deadlift and Push-Pull Nationals
1389,2016-12-03,Kansas State Open
1390,2016-12-03,2016 Maryland Collegiate Duel
1392,2016-12-04,New Jersey Collegiate Invitational Championship
1393,2016-12-03,2016 Southside Fall Classic
1394,2016-12-03,Winter Wars
1395,2016-12-02,2016 Colorado State Championships
1396,2016-12-04,2016 California Winter Classic
1397,2016-12-03,Southern Regional Championships
